# Social Sciences Historical Concepts - Research-verified list
# Format: era_start | name_en | name_ja | key_thinker

# === Pre-1800 ===
1972 | Bourdieu's Cultural Capital | ブルデューの文化資本 | Pierre Bourdieu
1972 | Bourdieu's Habitus | ブルデューのハビトゥス | Pierre Bourdieu
1974 | Wallerstein's World-Systems Theory | ウォーラーステインの世界システム論 | Immanuel Wallerstein
1975 | Foucault's Discipline and Punish | フーコーの監獄の誕生 | Michel Foucault
1975 | Foucault's Biopower | フーコーの生権力 | Michel Foucault
1976 | Dawkins's Selfish Gene / Meme Theory | ドーキンスの利己的遺伝子／ミーム | Richard Dawkins
1978 | Said's Orientalism | サイードのオリエンタリズム | Edward Said
1979 | Luhmann's Autopoietic Social Systems | ルーマンのオートポイエーシス的社会システム | Niklas Luhmann
1979 | Rational Choice Theory | 合理的選択理論 | Gary Becker

# === Late 20th Century (1980-2000) ===
1981 | Habermas's Communicative Action | ハーバーマスのコミュニケーション的行為 | Jurgen Habermas
1984 | Giddens's Structuration Theory | ギデンズの構造化理論 | Anthony Giddens
1986 | Beck's Risk Society | ベックの危険社会 | Ulrich Beck
1979 | Prospect Theory (Behavioral Economics) | プロスペクト理論（行動経済学） | Kahneman/Tversky
1990 | North's New Institutionalism | ノースの新制度主義 | Douglass North
1990 | Putnam's Social Capital | パットナムの社会関係資本 | Robert Putnam
1988 | Spivak's Subaltern Studies | スピヴァクのサバルタン研究 | Gayatri Spivak
1990 | Butler's Gender Performativity | バトラーのジェンダー・パフォーマティヴィティ | Judith Butler
1992 | Fukuyama's End of History | フクヤマの歴史の終わり | Francis Fukuyama
1993 | Huntington's Clash of Civilizations | ハンチントンの文明の衝突 | Samuel Huntington
1998 | Sen's Capability Approach | センのケイパビリティ・アプローチ | Amartya Sen
1999 | Bauman's Liquid Modernity | バウマンの液状化する近代 | Zygmunt Bauman
