# Natural Sciences Historical Concepts - Research-verified list
# Format: era_start | name_en | name_ja | key_scientist
# Sources: Wikipedia, Britannica, scientific history references

# === Pre-1700 ===
1847 | Helmholtz's Conservation of Energy | ヘルムホルツのエネルギー保存則 | Hermann von Helmholtz
1850 | Second Law of Thermodynamics | 熱力学第二法則 | Rudolf Clausius
1856 | Bessemer's Steel Process | ベッセマー製鋼法 | Henry Bessemer
1859 | Darwin's Natural Selection | ダーウィンの自然選択説 | Charles Darwin
1859 | Darwin's Theory of Evolution | ダーウィンの進化論 | Charles Darwin
1864 | Maxwell's Electromagnetic Theory | マクスウェルの電磁気理論 | James Clerk Maxwell
1865 | Mendel's Laws of Inheritance | メンデルの遺伝の法則 | Gregor Mendel
1869 | Periodic Table | 周期表 | Dmitri Mendeleev
1871 | Boltzmann's Statistical Mechanics | ボルツマンの統計力学 | Ludwig Boltzmann
1876 | Gibbs's Chemical Thermodynamics | ギブズの化学熱力学 | J. Willard Gibbs
1882 | Koch's Postulates (Germ Theory) | コッホの原則（細菌学） | Robert Koch
1864 | Pasteur's Germ Theory | パスツールの細菌説 | Louis Pasteur
1887 | Hertz's Electromagnetic Waves | ヘルツの電磁波 | Heinrich Hertz
1887 | Michelson-Morley Experiment | マイケルソン＝モーリーの実験 | Michelson/Morley
1895 | X-ray Discovery | X線の発見 | Wilhelm Roentgen
1896 | Radioactivity Discovery | 放射能の発見 | Henri Becquerel
1897 | Electron Discovery | 電子の発見 | J.J. Thomson
1829 | Non-Euclidean Geometry | 非ユークリッド幾何学 | Lobachevsky/Bolyai
1859 | Riemann Geometry | リーマン幾何学 | Bernhard Riemann

# === Early 20th Century (1900-1950) ===
1900 | Planck's Quantum Hypothesis | プランクの量子仮説 | Max Planck
1905 | Special Relativity | 特殊相対性理論 | Albert Einstein
1905 | Photoelectric Effect (Light Quanta) | 光電効果（光量子説） | Albert Einstein
1905 | Brownian Motion Theory | ブラウン運動の理論 | Albert Einstein
1909 | Rutherford's Atomic Model | ラザフォードの原子模型 | Ernest Rutherford
1911 | Superconductivity | 超伝導 | Heike Kamerlingh Onnes
1913 | Bohr's Atomic Model | ボーアの原子模型 | Niels Bohr
1915 | General Relativity | 一般相対性理論 | Albert Einstein
1915 | Continental Drift Theory | 大陸移動説 | Alfred Wegener
1924 | De Broglie Wave-Particle Duality | ド・ブロイの粒子波動二重性 | Louis de Broglie
1925 | Heisenberg's Matrix Mechanics | ハイゼンベルクの行列力学 | Werner Heisenberg
1926 | Schrödinger's Wave Equation | シュレーディンガーの波動方程式 | Erwin Schrodinger
1927 | Heisenberg's Uncertainty Principle | ハイゼンベルクの不確定性原理 | Werner Heisenberg
1927 | Copenhagen Interpretation | コペンハーゲン解釈 | Niels Bohr
1928 | Dirac Equation | ディラック方程式 | Paul Dirac
1929 | Hubble's Expanding Universe | ハッブルの膨張宇宙 | Edwin Hubble
1932 | Neutron Discovery | 中性子の発見 | James Chadwick
1932 | Positron Discovery | 陽電子の発見 | Carl Anderson
1935 | Yukawa's Meson Theory | 湯川の中間子論 | Hideki Yukawa
1938 | Nuclear Fission | 核分裂 | Hahn/Strassmann
1944 | Schrödinger's What is Life? | シュレーディンガーの「生命とは何か」 | Erwin Schrodinger
1946 | Big Bang Nucleosynthesis | ビッグバン元素合成 | George Gamow
1948 | Quantum Electrodynamics (QED) | 量子電磁力学 | Feynman/Schwinger/Tomonaga
1948 | Cybernetics | サイバネティクス | Norbert Wiener

# === Mid 20th Century (1950-1990) ===
1953 | DNA Double Helix Structure | DNA二重らせん構造 | Watson/Crick
1957 | BCS Theory of Superconductivity | BCS超伝導理論 | Bardeen/Cooper/Schrieffer
1958 | Central Dogma of Molecular Biology | 分子生物学のセントラルドグマ | Francis Crick
1960 | Laser Invention | レーザーの発明 | Theodore Maiman
1961 | Standard Model (Particle Physics) | 標準模型（素粒子物理学） | Glashow/Weinberg/Salam
1962 | Kuhn's Paradigm Shift | クーンのパラダイムシフト | Thomas Kuhn
1963 | Plate Tectonics | プレートテクトニクス | various
1963 | Chaos Theory (Lorenz) | カオス理論（ローレンツ） | Edward Lorenz
1964 | Higgs Mechanism | ヒッグス機構 | Peter Higgs
1964 | Quarks | クォーク | Murray Gell-Mann
1965 | Cosmic Microwave Background | 宇宙マイクロ波背景放射 | Penzias/Wilson
1966 | Genetic Code Deciphered | 遺伝暗号の解読 | Nirenberg/Khorana
1968 | Pulsars Discovery | パルサーの発見 | Jocelyn Bell Burnell
1970 | Reverse Transcriptase | 逆転写酵素 | Temin/Baltimore
1973 | Black Hole Thermodynamics | ブラックホール熱力学 | Jacob Bekenstein
1975 | Monoclonal Antibodies | モノクローナル抗体 | Kohler/Milstein
1977 | RNA Splicing (Introns) | RNAスプライシング（イントロン） | Sharp/Roberts
1980 | Inflationary Universe | インフレーション宇宙論 | Alan Guth
1983 | Polymerase Chain Reaction (PCR) | ポリメラーゼ連鎖反応 | Kary Mullis
1984 | String Theory (First Superstring Revolution) | 超弦理論（第一次超弦革命） | Green/Schwarz
1985 | Fullerene Discovery | フラーレンの発見 | Kroto/Curl/Smalley
1990 | Human Genome Project (Launch) | ヒトゲノム計画（開始） | Collins/Venter
