# Humanities Historical Concepts - Research-verified list
# Format: era_start | name_en | name_ja | key_thinker
# Sources: Wikipedia, Stanford Encyclopedia of Philosophy, Britannica

# === Ancient (-500 to 500) ===
1290 | Scotist Haecceity | スコトゥスの個体性（此性） | Duns Scotus
1320 | Ockham's Razor (Nominalism) | オッカムの剃刀（唯名論） | William of Ockham
804 | Tendai Buddhism | 天台宗（日本） | Saicho
806 | Shingon Esoteric Buddhism | 真言密教 | Kukai
1130 | Zen Buddhism (Japanese) | 禅宗（日本） | Eisai/Dogen
1175 | Pure Land Buddhism (Japanese) | 浄土宗 | Honen
1260 | Nichiren Buddhism | 日蓮仏教 | Nichiren
1130 | Zhu Xi Neo-Confucianism | 朱子学 | Zhu Xi
1370 | Wang Yangming Neo-Confucianism | 陽明学 | Wang Yangming
1100 | Abelardian Conceptualism | アベラルドゥス概念論 | Peter Abelard
1340 | Via Moderna | 新しい道（近代の道） | William of Ockham
806 | Sufi Mysticism (Theoretical) | スーフィズム理論的神秘主義 | Al-Junaid
1200 | Suhrawardi Illuminationism | スフラワルディーの照明哲学 | Suhrawardi
1260 | Ibn Arabi's Unity of Being | イブン・アラビーの存在一性論 | Ibn Arabi
1370 | Ibn Khaldun's Asabiyyah | イブン・ハルドゥーンのアサビーヤ | Ibn Khaldun

# === Early Modern (1500-1800) ===
1513 | Machiavellian Political Realism | マキャヴェリの政治的リアリズム | Machiavelli
1517 | Protestant Reformation Theology | 宗教改革神学 | Martin Luther
1543 | Copernican Heliocentrism (Philosophical Impact) | コペルニクス的転回の哲学的影響 | Copernicus
1580 | Montaigne's Skeptical Essayism | モンテーニュの懐疑的随想 | Michel de Montaigne
1620 | Baconian Empiricism | ベーコンの経験主義 | Francis Bacon
1637 | Cartesian Cogito | コギト（デカルト） | Rene Descartes
1641 | Cartesian Dualism | デカルト二元論 | Rene Descartes
1651 | Hobbesian Social Contract | ホッブズの社会契約論 | Thomas Hobbes
1670 | Spinoza's Substance Monism | スピノザの実体一元論 | Baruch Spinoza
1670 | Spinoza's Ethics | スピノザの倫理学 | Baruch Spinoza
1689 | Lockean Tabula Rasa | ロックのタブラ・ラサ | John Locke
1689 | Lockean Social Contract | ロックの社会契約論 | John Locke
1710 | Leibniz's Monadology | ライプニッツのモナドロジー | Gottfried Leibniz
1710 | Berkeley's Subjective Idealism | バークリーの主観的観念論 | George Berkeley
1739 | Hume's Problem of Induction | ヒュームの帰納の問題 | David Hume
1739 | Hume's Is-Ought Problem | ヒュームのis-ought問題 | David Hume
1748 | Montesquieu's Separation of Powers | モンテスキューの三権分立 | Montesquieu
1755 | Rousseau's General Will | ルソーの一般意志 | Jean-Jacques Rousseau
1762 | Rousseau's Social Contract | ルソーの社会契約論 | Jean-Jacques Rousseau
1781 | Kantian Transcendental Idealism | カントの超越論的観念論 | Immanuel Kant
1785 | Kantian Categorical Imperative | カントの定言命法 | Immanuel Kant
1781 | Kantian Synthetic A Priori | カントの総合的ア・プリオリ | Immanuel Kant
1790 | Kantian Aesthetic Judgment | カントの美的判断力 | Immanuel Kant
1789 | Benthamite Utilitarianism | ベンサムの功利主義 | Jeremy Bentham
1776 | Adam Smith's Invisible Hand | アダム・スミスの見えざる手 | Adam Smith
1725 | Vico's New Science | ヴィーコの新しい学 | Giambattista Vico
1751 | Diderot's Encyclopedism | ディドロの百科全書主義 | Denis Diderot
1770 | Scottish Common Sense Realism | スコットランド常識実在論 | Thomas Reid

# === 19th Century (1800-1900) ===
1807 | Hegelian Dialectic | ヘーゲル弁証法 | G.W.F. Hegel
1807 | Hegelian Phenomenology of Spirit | ヘーゲルの精神現象学 | G.W.F. Hegel
1810 | Fichtean Subjective Idealism | フィヒテの主観的観念論 | Johann Gottlieb Fichte
1800 | Schellingian Nature Philosophy | シェリングの自然哲学 | Friedrich Schelling
1818 | Schopenhauer's Will | ショーペンハウアーの意志の哲学 | Arthur Schopenhauer
1841 | Kierkegaard's Existentialism | キェルケゴールの実存主義 | Soren Kierkegaard
1843 | Kierkegaard's Leap of Faith | キェルケゴールの信仰の飛躍 | Soren Kierkegaard
1848 | Marxian Historical Materialism | マルクスの史的唯物論 | Karl Marx
1867 | Marxian Theory of Alienation | マルクスの疎外論 | Karl Marx
1848 | Marxian Class Struggle | マルクスの階級闘争理論 | Karl Marx
1859 | Mill's Utilitarianism (Refined) | ミルの功利主義（質的功利主義） | John Stuart Mill
1859 | Mill's On Liberty | ミルの自由論 | John Stuart Mill
1868 | Peirce's Pragmatism | パースのプラグマティズム | Charles Sanders Peirce
1878 | Peirce's Semiotics | パースの記号論 | Charles Sanders Peirce
1882 | Nietzsche's Death of God | ニーチェの神の死 | Friedrich Nietzsche
1883 | Nietzsche's Will to Power | ニーチェの力への意志 | Friedrich Nietzsche
1883 | Nietzsche's Eternal Recurrence | ニーチェの永劫回帰 | Friedrich Nietzsche
1883 | Nietzsche's Übermensch | ニーチェの超人 | Friedrich Nietzsche
1890 | William James's Pragmatism | ウィリアム・ジェイムズのプラグマティズム | William James
1890 | James's Stream of Consciousness | ジェイムズの意識の流れ | William James
1874 | Brentano's Intentionality | ブレンターノの志向性 | Franz Brentano
1883 | Dilthey's Hermeneutics | ディルタイの解釈学 | Wilhelm Dilthey
1860 | Neo-Kantianism (Baden School) | 新カント派（バーデン学派） | Wilhelm Windelband
1860 | Neo-Kantianism (Marburg School) | 新カント派（マールブルク学派） | Hermann Cohen
1884 | Frege's Logicism | フレーゲの論理主義 | Gottlob Frege
1892 | Frege's Sense and Reference | フレーゲの意味と指示 | Gottlob Frege
1830 | Comte's Positivism | コントの実証主義 | Auguste Comte
1862 | Spencer's Social Darwinism | スペンサーの社会ダーウィニズム | Herbert Spencer
1840 | Historicism | 歴史主義 | Leopold von Ranke
1891 | Papal Social Teaching (Rerum Novarum) | カトリック社会教説 | Pope Leo XIII

# === Early 20th Century (1900-1960) ===
1900 | Husserlian Phenomenology | フッサール現象学 | Edmund Husserl
1913 | Husserlian Epoché | フッサールのエポケー | Edmund Husserl
1905 | Russell's Theory of Descriptions | ラッセルの記述理論 | Bertrand Russell
1910 | Russell-Whitehead Logicism | ラッセル＝ホワイトヘッドの論理主義 | Bertrand Russell
1921 | Wittgenstein's Picture Theory | ウィトゲンシュタインの写像理論 | Ludwig Wittgenstein
1921 | Wittgenstein's Tractatus Logic | ウィトゲンシュタインの論理哲学論考 | Ludwig Wittgenstein
1927 | Heidegger's Being-in-the-World | ハイデガーの世界内存在 | Martin Heidegger
1927 | Heidegger's Dasein | ハイデガーのダーザイン | Martin Heidegger
1927 | Heidegger's Temporality | ハイデガーの時間性 | Martin Heidegger
1929 | Logical Positivism (Vienna Circle) | 論理実証主義（ウィーン学派） | Moritz Schlick
1934 | Popper's Falsificationism | ポパーの反証主義 | Karl Popper
1943 | Sartre's Existentialism | サルトルの実存主義 | Jean-Paul Sartre
1943 | Sartre's Bad Faith | サルトルの自己欺瞞 | Jean-Paul Sartre
1949 | Beauvoir's Feminist Existentialism | ボーヴォワールのフェミニスト実存主義 | Simone de Beauvoir
1945 | Merleau-Ponty's Embodied Perception | メルロ＝ポンティの身体的知覚 | Maurice Merleau-Ponty
1923 | Lukács's Reification | ルカーチの物象化 | Georg Lukacs
1944 | Horkheimer-Adorno Critical Theory | ホルクハイマー＝アドルノの批判理論 | Horkheimer/Adorno
1947 | Adorno's Culture Industry | アドルノの文化産業論 | Theodor Adorno
1950 | Arendt's Banality of Evil | アーレントの悪の凡庸さ | Hannah Arendt
1951 | Wittgenstein's Language Games | ウィトゲンシュタインの言語ゲーム | Ludwig Wittgenstein
1953 | Wittgenstein's Family Resemblance | ウィトゲンシュタインの家族的類似 | Ludwig Wittgenstein
1916 | Saussurean Structuralism | ソシュールの構造主義 | Ferdinand de Saussure
1958 | Gadamer's Philosophical Hermeneutics | ガダマーの哲学的解釈学 | Hans-Georg Gadamer
1955 | Lévi-Strauss Structural Anthropology | レヴィ＝ストロースの構造人類学 | Claude Levi-Strauss
1938 | Dewey's Instrumentalism | デューイの道具主義 | John Dewey
1929 | Whitehead's Process Philosophy | ホワイトヘッドのプロセス哲学 | Alfred North Whitehead
1903 | Moore's Naturalistic Fallacy | ムーアの自然主義的誤謬 | G.E. Moore
1931 | Gödel's Incompleteness Theorems | ゲーデルの不完全性定理 | Kurt Godel
1912 | Nishida's Logic of Place | 西田の場所的論理 | Nishida Kitaro
1920 | Tanabe's Logic of Species | 田辺の種の論理 | Tanabe Hajime
