# Arts Historical Concepts - Research-verified list
# Format: era_start | name_en | name_ja | key_figure

# === Ancient to Medieval (-500 to 1400) ===
1895 | Cinema as Art Form | 芸術としての映画 | Lumiere brothers
1897 | Vienna Secession | ウィーン分離派 | Gustav Klimt

# === Early 20th Century (1900-1960) ===
1905 | Fauvism | フォーヴィスム | Henri Matisse
1907 | Cubism | キュビスム | Picasso/Braque
1909 | Futurism | 未来派 | Filippo Marinetti
1910 | Abstract Art (First Abstract Painting) | 抽象芸術 | Wassily Kandinsky
1913 | Suprematism | シュプレマティスム | Kazimir Malevich
1915 | Readymade (Found Art) | レディメイド | Marcel Duchamp
1916 | Dadaism | ダダイスム | Hugo Ball/Tristan Tzara
1917 | De Stijl | デ・ステイル | Piet Mondrian/Theo van Doesburg
1919 | Bauhaus | バウハウス | Walter Gropius
1920 | Constructivism | 構成主義 | Vladimir Tatlin
1921 | Twelve-Tone Technique | 十二音技法 | Arnold Schoenberg
1924 | Surrealism | シュルレアリスム | Andre Breton
1925 | Art Deco | アール・デコ | Various
1930 | International Style (Architecture) | インターナショナル・スタイル | Le Corbusier/Mies
1935 | Benjamin's Art in Age of Mechanical Reproduction | ベンヤミンの複製技術時代の芸術 | Walter Benjamin
1940 | Abstract Expressionism | 抽象表現主義 | Jackson Pollock/Mark Rothko
1945 | Existentialist Literature | 実存主義文学 | Camus/Sartre
1947 | Art Brut | アール・ブリュット | Jean Dubuffet
1950 | Color Field Painting | カラーフィールド・ペインティング | Mark Rothko/Barnett Newman
1952 | John Cage's 4'33" | ジョン・ケージの4分33秒 | John Cage
1954 | Gutai Art (Japan) | 具体美術 | Jiro Yoshihara
1957 | Situationist International | シチュアシオニスト・インターナショナル | Guy Debord
1958 | Fluxus (Precursor) | フルクサス（前身） | George Maciunas
1959 | Concrete Poetry | コンクリート・ポエトリー | Eugen Gomringer

# === Late 20th Century (1960-2000) ===
1962 | Pop Art | ポップアート | Andy Warhol/Roy Lichtenstein
1963 | Minimalism (Art) | ミニマリズム | Donald Judd/Dan Flavin
1965 | Conceptual Art | コンセプチュアル・アート | Sol LeWitt/Joseph Kosuth
1965 | Op Art | オプ・アート | Bridget Riley/Victor Vasarely
1967 | Land Art / Earth Art | ランド・アート | Robert Smithson
1968 | Performance Art | パフォーマンス・アート | Vito Acconci/Marina Abramovic
1969 | Mono-ha (Japan) | もの派 | Lee Ufan/Sekine Nobuo
1970 | Video Art | ビデオアート | Nam June Paik
1975 | Postmodern Architecture | ポストモダン建築 | Robert Venturi/Charles Jencks
1977 | Punk Aesthetics | パンクの美学 | Sex Pistols/Jamie Reid
1980 | Neo-Expressionism | ネオ・エクスプレッショニズム | Jean-Michel Basquiat/Anselm Kiefer
1981 | New Wave Cinema (Global) | ヌーヴェルヴァーグ（グローバル） | Various
1983 | Installation Art | インスタレーション | Various
1988 | Deconstructivism (Architecture) | デコンストラクティヴィズム | Gehry/Hadid/Libeskind
1990 | Digital Art | デジタルアート | Various
1993 | Relational Aesthetics | 関係性の美学 | Nicolas Bourriaud
1997 | Young British Artists (YBAs) | ヤング・ブリティッシュ・アーティスト | Damien Hirst/Tracey Emin
